Heure;IP source;IP destination;Flag;Seq;Length
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];45568:47016,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];47016:48464,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];48464:49912,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[P.];49912:51360,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];51360:52808,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];52808:54256,;"308
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];18690:20138,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];20138:21586,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];21586:23034,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[.];23034:24482,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[S];24482:25930,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40684:;[S];25930:27378,;"1448
"
