Heure;IP source;IP destination;Flag;Seq;Length
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];1075:1121,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];7523:7602,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];7602:8449,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];8449:8575,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];8575:8654,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];1:142,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];518:569,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];569:1081,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];1:142,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];518:569,;"736
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];569:1061,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];1:142,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];518:569,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];569:1053,;"0
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];1:142,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];518:569,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];569:1071,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];1:142,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];518:569,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];569:1046,;"712
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];48968:50416,;"1448
"
11:42:30;BP-Linux8.40680;mauves.univ-st-etienne.fr.https:;[.];50416:51864,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];51864:53312,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40680:;[.];53312:54760,;"1448
"
11:42:30;BP-Linux8.40680;mauves.univ-st-etienne.fr.https:;[.];54760:56208,;"720
"
11:42:30;BP-Linux8.40684;mauves.univ-st-etienne.fr.https:;[.];56208:57656,;"1448
"
11:42:30;BP-Linux8.40682;mauves.univ-st-etienne.fr.https:;[.];57656:59104,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];59104:60552,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];60552:62000,;"1448
"
11:42:30;BP-Linux8.40682;mauves.univ-st-etienne.fr.https:;[.];62000:63448,;"1448
"
